order_id,datetime,is_weekend,is_festive_season,app,city,city_tier,category,items_ordered,order_amount_rupees,discount_rupees,final_amount_rupees,delivery_fee_rupees,payment_mode,delivery_slot,delivery_time_minutes,dark_store_id,order_status,cancel_return_reason,customer_rating,age_group,gender,user_type,customer_lifetime_orders,days_since_last_order,promo_code_used,estimated_delivery_distance_km
QC2015000000001,25-11-2015 20:00,0,0,Dunzo Daily,Ahmedabad,Tier 1,Medicines,2,245.19,0,245.19,48,Cash on Delivery,20-30 min,23,DS0335,Delivered,,4.9,35-44,Male,Returning User,35,40,,0.93
QC2015000000002,01-06-2015 15:03,0,0,Dunzo Daily,Bengaluru,Tier 1,Household,3,222.96,66.89,156.07,11,Cash on Delivery,60+ min,79.1,DS0054,Cancelled,Changed my mind,2,25-34,Female,New User,0,,No Promo,0.94
QC2015000000003,05-07-2015 14:03,1,0,Dunzo Daily,Mumbai,Tier 1,Dairy & Eggs,1,613.7,0,613.7,0,Cash on Delivery,20-30 min,28.9,DS0144,Delivered,,,25-34,Female,Premium User,70,9,No Promo,0.97
QC2015000000004,21-01-2015 13:22,0,0,Dunzo Daily,Hyderabad,Tier 1,Baby Products,1,387.19,38.72,348.47,17,Cash on Delivery,20-30 min,21.5,DS0387,Delivered,,3.8,25-34,Male,Returning User,17,29,Referral,1.07
QC2015000000005,22-08-2015 12:55,1,0,Dunzo Daily,Hyderabad,Tier 1,Electronics,1,212.28,53.07,159.21,27,Cash on Delivery,60+ min,59,DS0114,Delivered,,3.5,55+,Male,New User,0,,No Promo,0.91
QC2015000000006,16-02-2015 17:58,0,0,Dunzo Daily,Mumbai,Tier 1,Groceries & Staples,2,173.99,0,173.99,23,Cash on Delivery,30-45 min,43.6,DS0208,Delivered,,4.2,25-34,Female,New User,0,,No Promo,1.93
QC2015000000007,05-11-2015 10:51,0,0,Dunzo Daily,Delhi,Tier 1,Personal Care,2,336.63,16.83,319.8,26,Cash on Delivery,60+ min,74.1,DS0100,Delivered,,4.1,18-24,Male,Returning User,14,1,No Promo,0.61
QC2015000000008,21-03-2015 13:55,1,0,Dunzo Daily,Kolkata,Tier 1,Medicines,1,255.82,0,255.82,16,Debit Card,30-45 min,41.6,DS0346,Delivered,,4.7,35-44,Male,Returning User,40,58,No Promo,1.09
QC2015000000009,10-04-2015 10:17,0,0,Dunzo Daily,Delhi,Tier 1,Personal Care,9,414.88,82.98,331.9,25,Cash on Delivery,45-60 min,34.2,DS0009,Delivered,,3.8,25-34,Female,New User,0,,No Promo,1.85
QC2015000000010,16-09-2015 10:18,0,0,Dunzo Daily,Bengaluru,Tier 1,Groceries & Staples,2,148.21,37.05,111.16,24,Cash on Delivery,45-60 min,50.5,DS0123,Delivered,,4.9,45-54,Female,Premium User,136,14,No Promo,1.69
